titre,auteur,type,genre,annee,serie,volume,dispo
Cinq Mars,De Vigny Alfred,Roman,Classique,,,,1
L'aigle de Constantinople,Dedeyan Marina ,Roman,Histoire,,,,0
Un ciel pour bombardiers,Deighton Len ,Roman,Guerre,,,,0
Nova,Delany Samuel ,Roman,SF,,,,1
Le cornac,Denuzière Maurice ,Roman,Fiction,,,,1
Pavillon 38,Descott Régis ,Roman,Fiction,,,,1
Le boucher de Kouta,Diabaté M.M ,Roman,Fiction,,,,1
Les témoins,Dibon Henriette ,Roman,Fiction,,,,1
La vérité sur l'affaire Harry Quebert,Dicker Joel ,Roman,Polar,,,,0
1001 albums you must hear before you die,Dimery Robert ,Doc,Musique,,,,1
Au temps où la joconde parlait,Diwo Jean ,Roman,SF,,,,1
Codex 632 Les secrets de Christophe Colomb,Dos Santos J.R. ,Roman,,,,,1
Les pauvres gens,Dostoïevski,Roman,Fiction,,,,1
The dame of sark,Douglas William ,Roman,Étranger,,,,0
The secretary bird,Douglas William ,Roman,Étranger,,,,0
La chaine,Drucker Michel ,Roman,Fiction,,,,1
Le roi de fer,Druon Maurice,Roman,Fiction,,,,1
Rebecca,Du maurier Daphné,Roman,Étranger,,,,0
Rocambole,Du Terrail Ponson,Roman,Fiction,,,,1
Les nouveaux diablogues,Dubillard Roland,Théâtre,,,,,1
Le roi disait que j'étais diable,Dupont-Monod Clara ,Roman,,,,,1
L'empire des solitudes,Durin-Valois Marc ,Roman,Fiction,,,,1
Conan l'usurpateur,E. Howard Robert,Roman,SF,,Conan,,1
Conan le Cimmerien,E. Howard Robert,Roman,SF,,Conan,,1
Conan le conquerent,E. Howard Robert,Roman,SF,,Conan,,1
Conan le flibustier,E. Howard Robert,Roman,SF,,Conan,,1
Conan le vagabond,E. Howard Robert,Roman,SF,,Conan,,1
Conan le vengeur,E. Howard Robert,Roman,SF,,Conan,,1
Enchanters' end game,Eddings David ,Roman,Étranger,,,,0
Guardians of the west,Eddings David ,Roman,Étranger,,,,0
King of the murgos,Eddings David ,Roman,Étranger,,,,0
Le pion blanc des présages,Eddings David ,Roman,SF,,La belgariade ,1,1
Le ministricule,Escarpit Robert,Roman,Fiction,,,,1
Le littératron,Escarpit Robert ,Roman,Fiction,,,,1
Les Perses,Eschyle,Théâtre,,,,,1
Beatriz et les corps célestes,Etxebarria Lucia ,Roman,Fiction,,,,1
Virgin Suicides,Eugenides Jeffrey ,Roman,Fiction,,,,1
Qui ?,Expert Jacques,Roman,Fiction,,,,1
L'heure hache,Fair A.A.,Roman,Polar,,,,0
Les démons à ma porte,Fajardo José Manuel ,Roman,Fiction,,,,1
Tarzan vous salue bien,Farmer Phillip José ,Roman,Histoire,,,,0
Comme une bête,Farmer Phillip José ,Roman,SF,,,,1
la jungle nue,Farmer Phillip José ,Roman,Fantastique,,,,1
Le faiseur d'univers,Farmer Phillip José ,Roman,SF,,,,1
